,matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
209,18853,Bulgaria,France,L,0,3,21,24,14,,,34,3,3,34,60,77
210,18853,France,Bulgaria,W,3,0,25,26,25,,,38,9,4,36,47,63
211,18854,Türkiye,Canada,L,1,3,25,23,21,21,,44,12,5,60,73,99
212,18854,Canada,Türkiye,W,3,1,17,25,25,25,,51,5,12,54,76,115
213,18855,Argentina,Japan,L,1,3,26,22,23,19,,56,9,2,67,84,118
214,18855,Japan,Argentina,W,3,1,24,25,25,25,,68,8,5,73,80,134
215,18856,Cuba,Brazil,W,3,1,25,27,25,25,,59,10,7,61,74,109
216,18856,Brazil,Cuba,L,1,3,23,29,21,21,,60,4,4,67,82,123
217,18857,Netherlands,Slovenia,L,2,3,33,22,25,21,25,65,10,9,70,100,138
218,18857,Slovenia,Netherlands,W,3,2,31,25,20,25,27,65,8,11,78,95,138
219,18858,USA,Poland,L,0,3,22,15,24,,,34,3,6,35,63,78
220,18858,Poland,USA,W,3,0,25,25,26,,,40,6,8,46,49,70
221,18859,Germany,Italy,L,0,3,21,18,23,,,31,6,4,44,58,78
222,18859,Italy,Germany,W,3,0,25,25,25,,,44,7,4,49,49,78
223,18860,Iran,Serbia,L,1,3,25,25,19,18,,45,9,6,62,71,102
224,18860,Serbia,Iran,W,3,1,27,17,25,25,,48,12,5,55,69,97
225,18861,Slovenia,France,W,3,1,25,25,23,25,,47,9,7,48,68,95
226,18861,France,Slovenia,L,1,3,18,22,25,21,,43,7,7,53,76,101
227,18862,Canada,Poland,L,1,3,25,20,23,21,,54,4,5,37,77,97
228,18862,Poland,Canada,W,3,1,18,25,25,25,,58,5,8,50,75,96
229,18863,Türkiye,Netherlands,L,2,3,25,25,18,21,,53,12,10,42,84,105
230,18863,Netherlands,Türkiye,W,3,2,19,20,25,25,5,61,12,8,44,86,112
231,18864,Cuba,Germany,W,3,1,26,25,18,25,,59,13,6,45,83,109
232,18864,Germany,Cuba,L,1,3,24,20,25,23,,57,6,3,57,77,107
233,18865,Japan,Serbia,W,3,0,25,25,25,,,40,9,5,42,46,69
234,18865,Serbia,Japan,L,0,3,20,16,22,,,31,5,3,43,59,67
235,18866,Argentina,Brazil,L,2,3,13,25,25,23,11,65,8,3,85,91,143
236,18866,Brazil,Argentina,W,3,2,25,20,19,25,15,66,7,4,76,76,124
237,18867,Bulgaria,Canada,L,0,3,22,28,24,,,38,5,5,43,62,86
238,18867,Canada,Bulgaria,W,3,0,25,30,26,,,43,9,5,39,61,88
239,18868,France,USA,W,3,0,25,25,25,,,41,7,2,38,51,69
240,18868,USA,France,L,0,3,22,21,21,,,39,3,2,45,56,86
241,18869,Netherlands,Poland,L,0,3,28,23,18,,,37,9,6,31,66,80
242,18869,Poland,Netherlands,W,3,0,30,25,25,,,43,14,7,29,63,75
243,18870,Cuba,Japan,L,2,3,25,22,23,25,20,69,20,5,60,91,134
244,18870,Japan,Cuba,W,3,2,18,25,25,19,22,56,8,6,64,90,145
245,18871,Iran,Italy,L,0,3,19,18,11,,,27,1,3,40,59,72
246,18871,Italy,Iran,W,3,0,25,25,25,,,41,13,6,40,42,69
247,18872,Serbia,Brazil,L,1,3,21,20,25,22,,49,5,4,60,76,95
248,18872,Brazil,Serbia,W,3,1,25,25,22,25,,55,10,5,54,67,98
249,18873,Slovenia,Canada,W,3,2,22,25,25,21,15,66,4,11,71,81,141
250,18873,Canada,Slovenia,L,2,3,25,18,18,25,10,57,14,3,59,95,122
251,18874,Türkiye,France,L,1,3,27,23,16,14,,41,8,5,44,78,92
252,18874,France,Türkiye,W,3,1,25,25,25,25,,51,9,12,46,64,89
253,18875,Bulgaria,USA,W,3,1,25,25,21,25,,56,12,7,58,74,112
254,18875,USA,Bulgaria,L,1,3,21,20,25,21,,52,7,6,62,79,114
255,18876,Japan,Italy,L,1,3,25,16,17,17,,42,3,3,59,76,121
256,18876,Italy,Japan,W,3,1,23,25,25,25,,49,15,6,55,64,101
257,18877,Argentina,Germany,W,3,1,21,25,25,25,,51,18,1,65,68,101
258,18877,Germany,Argentina,L,1,3,25,19,21,21,,56,7,3,65,85,119
259,18878,Cuba,Iran,W,3,1,25,14,25,25,,53,9,7,52,74,109
260,18878,Iran,Cuba,L,1,3,20,25,21,21,,51,4,6,59,73,107
261,18879,Slovenia,Poland,W,3,0,25,25,25,,,46,3,8,40,49,72
262,18879,Poland,Slovenia,L,0,3,20,21,18,,,38,5,2,36,63,76
263,18880,Brazil,Italy,L,2,3,25,15,25,17,13,54,13,1,60,84,112
264,18880,Italy,Brazil,W,3,2,17,25,22,25,15,59,9,9,60,80,115
265,18881,Türkiye,USA,L,1,3,25,22,25,21,,51,8,3,63,74,110
266,18881,USA,Türkiye,W,3,1,20,25,27,25,,50,8,7,60,73,112
267,18882,Bulgaria,Netherlands,L,1,3,16,25,13,20,,39,4,6,43,75,96
268,18882,Netherlands,Bulgaria,W,3,1,25,20,25,25,,44,12,10,36,58,91
269,18883,Serbia,Germany,L,0,3,21,20,20,,,33,8,1,47,60,83
270,18883,Germany,Serbia,W,3,0,25,25,25,,,45,9,5,36,56,94
271,18884,Iran,Argentina,L,2,3,25,29,25,20,13,65,10,4,63,95,124
272,18884,Argentina,Iran,W,3,2,23,31,20,25,15,69,14,3,59,98,136
273,18885,Germany,Brazil,L,0,3,15,16,15,,,36,1,2,32,70,86
274,18885,Brazil,Germany,W,3,0,25,25,25,,,34,10,6,32,32,54
275,18886,Poland,Bulgaria,W,3,1,21,25,25,25,,46,8,7,49,58,94
276,18886,Bulgaria,Poland,L,1,3,25,21,19,18,,51,7,2,40,81,98
277,18887,Iran,Japan,L,0,3,23,22,17,,,40,5,4,36,63,76
278,18887,Japan,Iran,W,3,0,25,25,25,,,50,4,2,41,49,81
279,18888,Argentina,USA,L,0,3,23,21,24,,,41,5,2,37,60,90
280,18888,USA,Argentina,W,3,0,25,25,26,,,46,8,1,43,56,84
281,18889,Canada,Cuba,W,3,1,25,25,25,28,,57,17,4,36,78,101
282,18889,Cuba,Canada,L,1,3,21,27,20,26,,60,6,4,47,84,111
283,18890,Slovenia,Türkiye,W,3,0,25,26,25,,,42,7,6,59,57,98
284,18890,Türkiye,Slovenia,L,0,3,22,24,20,,,36,7,7,51,64,88
285,18891,Germany,Japan,L,2,3,22,25,27,23,,65,5,10,68,94,129
286,18891,Japan,Germany,W,3,2,25,22,25,25,5,71,10,3,74,85,128
287,18892,Serbia,Netherlands,W,3,0,25,25,26,,,35,6,8,32,45,58
288,18892,Netherlands,Serbia,L,0,3,17,20,24,,,35,7,4,29,63,75
289,18893,France,Italy,W,3,2,25,18,25,19,15,54,11,5,60,86,125
290,18893,Italy,France,L,2,3,23,25,23,25,10,63,12,2,57,82,121
291,18894,Iran,Brazil,L,1,3,19,25,16,23,,48,8,3,48,79,101
292,18894,Brazil,Iran,W,3,1,25,22,25,25,,56,6,7,54,65,102
293,18895,Bulgaria,Germany,L,1,3,24,25,16,16,,40,10,6,58,80,106
294,18895,Germany,Bulgaria,W,3,1,26,22,25,25,,55,7,5,66,66,113
295,18896,Poland,Türkiye,W,3,0,25,25,25,,,37,11,6,40,38,66
296,18896,Türkiye,Poland,L,0,3,19,12,19,,,28,7,3,29,68,84
297,18897,Cuba,Netherlands,L,1,3,24,25,20,22,,50,9,1,48,80,98
298,18897,Netherlands,Cuba,W,3,1,26,21,25,25,,55,12,9,45,77,105
299,18898,USA,Italy,L,0,3,23,24,20,,,35,8,3,49,64,94
300,18898,Italy,USA,W,3,0,25,26,25,,,44,5,7,53,60,97
