,matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
166,11782,Australia,Slovenia,L,1,3,25,18,18,17,,42,10,3,50,76,96
167,11783,Japan,Poland,L,0,3,14,18,19,,,34,0,0,47,60,81
168,11783,Poland,Japan,W,3,0,25,25,25,,,35,6,6,44,33,60
169,11784,Netherlands,Italy,L,1,3,19,23,25,21,,55,7,5,73,84,120
170,11784,Italy,Netherlands,W,3,1,25,25,23,25,,53,12,8,50,73,105
171,11785,Canada,Germany,W,3,0,25,26,25,,,39,6,1,47,49,77
172,11785,Germany,Canada,L,0,3,17,24,21,,,38,3,3,39,62,85
173,11786,USA,France,L,1,3,23,25,29,22,,57,14,3,69,87,129
174,11786,France,USA,W,3,1,25,22,31,25,,57,6,3,80,76,132
175,11787,Iran,Brazil,L,1,3,19,25,19,21,,48,7,5,41,81,110
176,11787,Brazil,Iran,W,3,1,25,23,25,25,,49,12,3,54,61,112
177,11788,Argentina,Serbia,W,3,0,27,25,26,,,45,8,3,36,57,82
178,11788,Serbia,Argentina,L,0,3,25,20,24,,,38,7,2,38,63,81
179,11789,Bulgaria,Russia,L,0,3,17,22,17,,,24,3,5,31,52,70
180,11789,Russia,Bulgaria,W,3,0,25,25,25,,,45,7,6,40,47,69
181,11790,Japan,Canada,L,0,3,22,23,18,,,42,2,1,54,63,90
182,11790,Canada,Japan,W,3,0,25,25,25,,,44,6,7,48,54,81
183,11791,Australia,Brazil,L,0,3,17,22,12,,,35,3,2,50,66,92
184,11791,Brazil,Australia,W,3,0,25,25,25,,,48,6,3,52,44,78
185,11792,Iran,Slovenia,L,1,3,25,20,19,30,,51,12,4,50,75,97
186,11792,Slovenia,Iran,W,3,1,14,25,25,32,,60,6,3,54,82,109
187,11793,Netherlands,USA,L,2,3,25,17,25,15,13,51,3,7,61,87,117
188,11793,USA,Netherlands,W,3,2,21,25,23,25,15,67,8,12,61,79,111
189,11794,France,Italy,L,2,3,19,25,20,25,12,65,8,3,57,92,126
190,11794,Italy,France,W,3,2,25,22,25,21,15,64,11,6,49,84,121
191,11795,Germany,Poland,L,0,3,22,19,20,,,34,2,2,44,57,78
192,11795,Poland,Germany,W,3,0,25,25,25,,,46,7,2,50,51,82
193,11796,Australia,Serbia,L,1,3,16,13,25,15,,34,6,6,45,78,98
194,11796,Serbia,Australia,W,3,1,25,25,19,25,,52,11,6,31,59,87
195,11797,Japan,Bulgaria,W,3,0,25,25,25,,,50,6,3,52,48,84
196,11797,Bulgaria,Japan,L,0,3,23,18,14,,,34,8,2,44,66,79
197,11798,France,Iran,W,3,0,25,25,25,,,41,8,5,38,52,71
198,11798,Iran,France,L,0,3,21,21,19,,,35,8,2,20,60,76
199,11799,Canada,Netherlands,W,3,0,25,25,25,,,42,11,5,44,42,69
200,11799,Netherlands,Canada,L,0,3,16,16,19,,,29,3,0,41,65,83
201,11800,Brazil,Italy,W,3,1,25,32,22,25,,67,5,5,67,80,124
202,11800,Italy,Brazil,L,1,3,19,30,25,20,,61,9,3,69,87,121
203,11801,Slovenia,USA,W,3,2,28,25,21,28,15,69,11,4,66,91,131
204,11801,USA,Slovenia,L,2,3,30,19,25,26,13,61,10,6,67,92,129
205,11802,Poland,Argentina,W,3,0,25,25,25,,,44,3,7,46,46,78
206,11802,Argentina,Poland,L,0,3,21,22,18,,,37,1,1,44,58,73
207,11803,Germany,Russia,L,1,3,18,18,25,15,,42,7,0,51,77,97
208,11803,Russia,Germany,W,3,1,25,25,23,25,,58,9,8,48,61,98
209,11804,Canada,Australia,W,3,0,25,25,25,,,41,10,5,52,34,69
210,11804,Australia,Canada,L,0,3,17,8,20,,,22,1,2,46,58,77
211,11805,Serbia,Netherlands,W,3,2,25,21,25,21,17,64,5,12,49,87,110
212,11805,Netherlands,Serbia,L,2,3,21,25,18,25,15,60,11,6,58,90,106
213,11806,Bulgaria,USA,L,0,3,19,24,9,,,30,2,0,35,63,80
214,11806,USA,Bulgaria,W,3,0,25,26,25,,,41,7,5,49,44,78
215,11807,Iran,Poland,L,0,3,20,20,16,,,27,5,3,41,66,89
216,11807,Poland,Iran,W,3,0,25,25,25,,,31,11,6,38,43,68
217,11808,Japan,Slovenia,L,0,3,16,16,26,,,38,4,2,35,68,90
218,11808,Slovenia,Japan,W,3,0,25,25,28,,,45,10,5,30,52,78
219,11809,France,Argentina,W,3,0,26,25,25,,,41,8,6,46,53,80
220,11809,Argentina,France,L,0,3,24,21,22,,,37,7,0,39,61,77
221,11810,Brazil,Germany,W,3,0,25,25,25,,,43,5,3,40,50,85
222,11810,Germany,Brazil,L,0,3,21,21,23,,,34,5,3,30,57,80
223,11811,Russia,Italy,W,3,2,25,16,25,19,15,56,9,5,44,85,104
224,11811,Italy,Russia,L,2,3,21,25,17,25,12,57,10,8,62,83,113
225,11812,Australia,Netherlands,L,0,3,23,19,19,,,33,6,1,32,57,63
226,11812,Netherlands,Australia,W,3,0,25,25,25,,,42,8,8,29,53,73
227,11813,Canada,Serbia,W,3,2,17,21,25,25,17,47,19,1,76,76,124
228,11813,Serbia,Canada,L,2,3,25,25,17,20,15,62,9,8,74,90,145
229,11814,USA,Japan,W,3,0,25,25,25,,,48,10,2,40,53,73
230,11814,Japan,USA,L,0,3,21,23,20,,,35,3,2,41,55,84
231,11815,France,Poland,W,3,2,25,21,22,25,15,57,11,5,58,79,119
232,11815,Poland,France,L,2,3,22,25,25,20,11,52,15,3,54,87,116
233,11816,Iran,Argentina,L,1,3,31,23,32,18,,59,9,5,55,89,113
234,11816,Argentina,Iran,W,3,1,33,25,30,25,,65,12,3,52,86,113
235,11817,Slovenia,Bulgaria,W,3,0,25,25,25,,,36,5,3,43,41,66
236,11817,Bulgaria,Slovenia,L,0,3,23,16,18,,,34,8,2,23,65,71
237,11818,Italy,Germany,W,3,2,25,24,25,21,15,58,15,5,73,78,123
238,11818,Germany,Italy,L,2,3,12,26,22,25,13,52,9,5,76,87,131
239,11819,Brazil,Russia,L,0,3,21,26,20,,,36,4,4,38,61,73
240,11819,Russia,Brazil,W,3,0,25,28,25,,,40,9,7,33,58,72
241,11820,Brazil,France,W,3,0,25,25,25,,,45,9,3,36,49,75
242,11820,France,Brazil,L,0,3,20,18,19,,,31,3,2,41,61,77
243,11821,Poland,Slovenia,W,3,0,25,25,25,,,37,14,6,37,53,72
244,11821,Slovenia,Poland,L,0,3,22,21,23,,,38,6,5,41,63,83
245,11822,France,Slovenia,W,3,0,25,25,25,,,44,11,5,38,48,71
246,11822,Slovenia,France,L,0,3,20,18,19,,,31,6,3,32,61,79
247,11823,Brazil,Poland,W,3,1,22,25,25,25,,54,9,6,62,62,103
248,11823,Poland,Brazil,L,1,3,25,23,16,14,,44,7,3,50,79,102
249,13455,Brazil,Cuba,W,3,2,31,21,25,25,18,59,15,5,23,80,108
250,13455,Cuba,Brazil,L,2,3,33,25,16,17,16,62,11,6,18,103,124
251,13456,Japan,Qatar,W,3,0,25,25,25,,,45,8,2,8,43,73
252,13456,Qatar,Japan,L,0,3,20,18,15,,,29,4,2,14,57,72
253,13457,France,Germany,W,3,0,25,28,26,,,42,8,6,4,58,73
254,13457,Germany,France,L,0,3,22,26,24,,,45,3,2,1,59,83
255,13458,USA,Mexico,W,3,0,25,25,25,,,44,6,4,35,38,65
256,13458,Mexico,USA,L,0,3,18,20,12,,,31,5,1,23,63,67
257,13459,Poland,Bulgaria,W,3,0,25,25,25,,,39,8,13,27,42,66
258,13459,Bulgaria,Poland,L,0,3,12,20,20,,,29,6,3,28,65,68
259,13460,Slovenia,Cameroon,W,3,0,25,25,25,,,40,6,6,1,49,73
260,13460,Cameroon,Slovenia,L,0,3,19,23,21,,,40,7,4,2,66,84
261,13461,TÃ¼rkiye,China,W,3,0,25,25,25,,,41,7,7,0,37,50
262,13461,China,TÃ¼rkiye,L,0,3,15,19,14,,,28,2,1,1,62,52
263,13462,Netherlands,Egypt,W,3,0,25,25,25,,,40,9,6,2,44,75
264,13462,Egypt,Netherlands,L,0,3,17,22,16,,,28,4,1,4,59,73
265,13463,Argentina,Iran,L,2,3,25,28,18,34,19,69,14,3,1,105,117
266,13463,Iran,Argentina,W,3,2,22,30,25,32,21,71,3,4,0,89,120
267,13464,Tunisia,Puerto Rico,W,3,0,25,25,25,,,39,10,1,31,46,74
268,13464,Puerto Rico,Tunisia,L,0,3,19,17,20,,,33,1,5,31,63,82
269,13465,Ukraine,Serbia,L,0,3,26,21,20,,,40,7,3,25,64,84
270,13465,Serbia,Ukraine,W,3,0,28,25,25,,,34,4,7,27,50,75
271,13466,Italy,Canada,W,3,0,25,25,39,,,45,14,4,21,55,82
272,13466,Canada,Italy,L,0,3,13,18,37,,,33,4,3,17,70,84
273,13467,Cuba,Qatar,W,3,1,25,25,22,25,,57,11,5,28,71,96
274,13467,Qatar,Cuba,L,1,3,21,21,25,19,,37,9,5,26,75,92
275,13468,Brazil,Japan,W,3,0,25,25,25,,,40,9,4,34,44,76
276,13468,Japan,Brazil,L,0,3,21,18,16,,,29,4,4,31,61,86
277,13469,Germany,Cameroon,W,3,0,30,25,25,,,51,4,6,24,53,76
278,13469,Cameroon,Germany,L,0,3,28,14,19,,,33,6,2,24,65,68
279,13470,USA,Bulgaria,W,3,0,25,25,26,,,39,8,7,42,52,78
280,13470,Bulgaria,USA,L,0,3,20,23,24,,,38,7,3,34,65,81
281,13471,Poland,Mexico,W,3,0,25,25,25,,,35,12,4,21,38,57
282,13471,Mexico,Poland,L,0,3,17,14,19,,,26,2,3,24,55,74
283,13472,France,Slovenia,W,3,2,25,22,23,34,15,67,8,8,19,85,135
284,13472,Slovenia,France,L,2,3,21,25,25,32,7,54,13,2,37,87,112
285,13473,Canada,China,W,3,0,25,25,25,,,41,4,5,27,55,72
286,13473,China,Canada,L,0,3,23,21,23,,,35,7,3,26,58,71
287,13474,Argentina,Netherlands,L,2,3,30,25,21,25,,59,11,7,46,88,99
288,13474,Netherlands,Argentina,W,3,2,28,20,25,27,5,69,10,8,36,86,117
289,13475,Iran,Egypt,W,3,1,25,25,22,26,,52,10,8,26,65,92
290,13475,Egypt,Iran,L,1,3,14,19,25,24,,44,9,3,20,81,86
291,13476,Serbia,Puerto Rico,W,3,0,26,25,25,,,36,9,8,29,49,62
292,13476,Puerto Rico,Serbia,L,0,3,24,21,16,,,37,2,7,28,66,76
293,13477,Ukraine,Tunisia,W,3,0,25,25,25,,,33,14,9,30,47,67
294,13477,Tunisia,Ukraine,L,0,3,21,19,15,,,27,7,1,32,59,77
295,13478,Italy,TÃ¼rkiye,W,3,0,25,25,25,,,43,7,3,41,48,78
296,13478,TÃ¼rkiye,Italy,L,0,3,18,20,22,,,29,5,5,32,61,71
297,13479,Brazil,Qatar,W,3,0,25,25,26,,,48,4,3,32,51,74
298,13479,Qatar,Brazil,L,0,3,13,23,24,,,38,4,1,21,62,74
299,13480,Japan,Cuba,W,3,1,25,21,25,25,,47,8,3,37,56,85
300,13480,Cuba,Japan,L,1,3,18,25,15,19,,44,5,5,34,76,89
301,13481,France,Cameroon,W,3,0,25,25,25,,,44,4,5,33,47,74
302,13481,Cameroon,France,L,0,3,19,19,22,,,34,3,3,18,62,70
303,13482,Mexico,Bulgaria,W,3,2,20,25,25,23,18,56,8,10,47,85,110
304,13482,Bulgaria,Mexico,L,2,3,25,20,23,25,16,63,9,6,41,96,124
305,13483,Poland,USA,W,3,1,23,25,25,25,,55,6,6,39,66,100
306,13483,USA,Poland,L,1,3,25,21,19,21,,44,7,8,41,77,92
307,13484,Slovenia,Germany,W,3,0,25,25,25,,,41,9,4,25,43,65
308,13484,Germany,Slovenia,L,0,3,16,22,17,,,35,1,2,21,63,80
309,13485,Argentina,Egypt,W,3,2,27,26,24,25,15,74,7,7,29,91,125
310,13485,Egypt,Argentina,L,2,3,25,28,26,17,6,55,9,2,36,91,110
