MATCHID,TEAMA,TEAMB,RESULTA,RESULTB,SET1A,SET1B,SET2A,SET2B,SET3A,SET3B,SET4A,SET4B,SET5A,SET5B,ATTACKSA,ATTACKSB,BLOCKSA,BLOCKSB,SERVESA,SERVESB,DIGSA,DIGSB,RECSA,RECSB,SETSA,SETSB
21506,Germany,Serbia,W,L,25,20,25,21,23,25,25,17,,,61,49,7,6,6,5,55,50,70,82,98,103
21507,Brazil,Poland,W,L,25,21,25,21,21,25,28,26,,,65,49,8,14,3,3,92,88,77,83,135,119
21508,USA,Italy,L,W,21,25,22,25,18,25,,,,,40,38,2,6,1,8,38,41,59,45,72,73
21509,USA,Japan,L,W,21,25,19,25,23,25,,,,,38,44,4,4,2,4,34,52,60,49,77,85
21510,Argentina,Brazil,L,W,21,25,23,25,26,24,18,25,,,51,57,8,8,3,4,55,66,82,69,116,115
21511,Türkiye,USA,L,W,24,26,21,25,27,29,,,,,40,45,5,5,1,5,54,56,58,55,89,89
21512,Germany,Japan,L,W,25,21,20,25,23,25,20,25,,,60,72,5,3,2,4,50,70,80,81,108,118
21513,China,France,L,W,25,22,22,25,23,25,17,25,,,43,62,5,3,3,6,60,59,72,75,106,112
21514,Ukraine,Netherlands,W,L,25,21,20,25,20,25,26,24,15,13,60,65,6,8,5,8,65,70,87,88,116,126
21515,Bulgaria,Cuba,L,W,25,23,16,25,25,23,25,27,13,15,53,64,11,19,6,4,60,64,85,89,117,123
21516,Serbia,Italy,L,W,15,25,14,25,16,25,,,,,28,40,2,12,0,9,45,29,61,36,69,56
21517,Iran,Poland,W,L,19,25,25,23,18,25,25,21,,5,52,61,10,7,5,12,71,76,89,76,127,125
21518,Canada,Slovenia,L,W,25,21,21,25,19,25,21,25,,,44,51,10,6,4,6,83,75,75,65,122,110
21519,Türkiye,Germany,W,L,29,27,25,22,18,25,30,28,,,62,66,8,7,8,5,52,69,87,86,111,107
21520,Argentina,Japan,L,W,25,23,25,23,21,25,23,25,13,15,59,65,16,6,1,3,58,80,93,78,123,126
21521,China,Iran,L,W,26,28,21,25,17,25,,,,,30,40,7,8,5,7,42,42,67,51,83,75
21522,Ukraine,Italy,L,W,15,25,20,25,25,16,25,23,10,15,56,50,9,11,6,5,70,76,90,76,126,116
21523,Cuba,Poland,W,L,22,25,25,19,25,21,26,24,,,55,43,10,6,8,4,58,50,68,72,103,92
21524,Netherlands,Slovenia,L,W,18,25,19,25,21,25,,,,,30,41,5,4,5,3,60,61,62,43,88,75
21525,Argentina,USA,L,W,23,25,25,20,20,25,23,25,,,59,55,8,6,3,6,78,72,82,72,126,117
21526,Brazil,Japan,W,L,25,21,25,23,28,26,,,,,40,42,11,4,1,3,45,46,53,65,83,96
21527,Cuba,France,L,W,25,20,15,25,25,23,21,25,,5,46,61,10,7,7,11,59,61,85,75,99,116
21528,Ukraine,Serbia,L,W,22,25,19,25,17,25,,,,,39,40,7,15,1,3,48,55,69,49,97,89
21529,China,Bulgaria,L,W,23,25,16,25,24,26,,,,,37,41,5,9,4,6,51,55,64,54,94,87
21530,Netherlands,Canada,L,W,22,25,20,25,15,25,,,,,35,43,1,5,0,2,54,54,57,42,79,69
21531,Türkiye,Brazil,L,W,22,25,24,26,25,22,22,25,,,48,58,8,6,8,10,68,83,78,79,118,126
21532,Germany,USA,W,L,25,22,22,25,17,25,25,15,15,12,56,53,9,8,8,3,79,86,77,77,130,128
21533,Serbia,Canada,W,L,15,25,25,22,25,18,25,22,,,53,50,4,8,4,3,62,51,67,71,104,98
21534,Bulgaria,Poland,W,L,17,25,25,22,25,23,27,29,15,11,59,59,10,10,8,3,52,44,86,86,116,108
21535,Iran,France,L,W,24,26,16,25,24,26,,,,,37,48,4,7,4,6,41,53,60,54,78,85
21536,Slovenia,Italy,L,W,22,25,20,25,23,25,,,,,34,35,4,10,3,7,66,52,57,52,90,81
21537,Türkiye,Argentina,L,W,25,18,21,25,19,25,25,17,15,17,58,59,11,7,7,8,84,95,81,90,131,134
21538,Germany,Brazil,L,W,25,21,23,25,20,25,21,25,,,55,51,6,8,1,8,69,64,77,69,113,107
21539,Ukraine,Canada,L,W,21,25,27,25,29,31,21,25,,,61,64,6,9,4,6,60,71,82,79,110,115
21540,China,Cuba,W,L,20,25,25,23,15,25,25,22,19,17,51,69,10,11,6,3,70,64,85,84,123,115
21541,Netherlands,Italy,L,W,13,25,22,25,19,25,,,,,29,39,6,8,2,4,40,42,59,38,76,67
21542,Bulgaria,Iran,L,W,17,25,17,25,16,25,,,,,30,40,2,10,1,8,37,41,62,40,73,68
21543,France,Poland,L,W,30,32,25,20,20,25,25,23,12,15,64,58,5,13,11,6,61,56,92,85,122,116
21544,Serbia,Slovenia,L,W,21,25,25,23,25,23,18,25,15,17,63,65,7,10,6,4,101,106,97,79,150,140
21545,Brazil,China,W,L,29,31,25,19,25,16,25,21,,,54,45,8,11,6,4,66,71,70,88,112,125
21546,Japan,Poland,L,W,23,25,24,26,12,25,,,,,36,34,3,14,4,4,48,38,62,43,93,60
21547,Italy,Cuba,W,L,25,18,25,19,20,25,25,21,,,42,55,9,6,7,3,65,54,64,82,100,115
21548,France,Slovenia,L,W,22,25,25,15,19,25,18,25,,,56,38,4,9,7,2,58,60,76,58,107,75
21549,Brazil,Poland,L,W,26,28,19,25,21,25,,,,,32,41,7,6,6,7,29,34,63,56,70,70
21550,Italy,Slovenia,W,L,25,22,22,25,25,21,25,18,,,62,52,10,9,9,2,57,64,79,79,112,106
21551,Brazil,Slovenia,W,L,23,25,25,20,25,23,25,19,,,48,49,11,7,5,2,60,68,68,80,110,122
21552,Poland,Italy,W,L,25,22,25,19,25,14,,,,,37,27,10,6,3,4,55,46,43,62,80,81
